cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
        13,-3.934865890E-05,-7.582222112E-03, 1.062625349E-01, 3.917240965E+02
        14,-3.940143506E-05,-7.515796460E-03, 1.063526124E-01, 3.911915514E+02
        15,-1.636982633E-04,-7.526298519E-03, 1.063299254E-01, 3.916349084E+02
        16,-1.180459803E-04,-7.580664940E-03, 1.062755808E-01, 3.917168408E+02
        17,-1.181882180E-04,-7.521051448E-03, 1.063436866E-01, 3.911840905E+02
        18,-3.926522913E-05,-7.684222888E-03, 1.061929539E-01, 3.917746886E+02
        19,-3.934865890E-05,-7.582222112E-03, 1.064265072E-01, 3.912584094E+02
        20,-1.835436560E-04,-7.596369367E-03, 1.062819287E-01, 3.917030441E+02
        21,-1.897836191E-04,-7.562245708E-03, 1.063110232E-01, 3.917030441E+02
        22,-2.159945434E-04,-7.571775932E-03, 1.063134372E-01, 3.917030441E+02
        23,-1.636982633E-04,-7.526298519E-03, 1.063356027E-01, 3.911698835E+02
        24,-1.177956874E-04,-7.682669908E-03, 1.062056571E-01, 3.917675231E+02
        25,-1.180459803E-04,-7.580664940E-03, 1.064088941E-01, 3.912508627E+02
        26,-3.918179209E-05,-7.786225062E-03, 1.061432809E-01, 3.918073364E+02
        27,-3.926523277E-05,-7.684222888E-03, 1.065203398E-01, 3.913076650E+02
        28,-2.752586734E-04,-7.605951279E-03, 1.063146815E-01, 3.916822879E+02
        29,-1.963261457E-04,-7.681116462E-03, 1.062301472E-01, 3.917537466E+02
        30,-1.835436560E-04,-7.596369367E-03, 1.064003408E-01, 3.912364987E+02
        31,-2.098658151E-04,-7.571897935E-03, 1.063610911E-01, 3.912364987E+02
