"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
183 614.5590092540285 887.0472412109375 28918.48280187574 9893288.406523485
184 614.5617316835189 887.0503540039063 28917.88872502609 9893288.558386534
185 614.5640081544591 887.0529174804688 28917.3903243583 9893288.647630932
186 614.5665131996955 887.0557861328125 28916.81501360713 9893288.764686016
187 614.5686865148771 887.0582275390625 28916.36195646471 9893288.925279506
188 614.5710259603006 887.0608520507813 28915.83285398931 9893289.058013817
189 614.5732041874078 887.0633544921875 28915.37638868977 9893289.353328951
190 614.5752417297135 887.065673828125 28914.94543344041 9893289.563094607
191 614.5769874892893 887.0675659179688 28914.56749867661 9893289.726388311
192 614.5788367872514 887.0696411132813 28914.15039937137 9893289.913314655
193 614.5804716145442 887.071533203125 28913.81593798638 9893290.094366211
194 614.5819658221404 887.0731811523438 28913.50680185587 9893290.379933825
195 614.5830797391405 887.074462890625 28913.28164694704 9893290.504149232
196 614.5842059273214 887.0758056640625 28913.04215088225 9893290.614838449
197 614.5851186448614 887.0767822265625 28912.87789845411 9893290.731477154
198 614.5860705337255 887.077880859375 28912.68869729408 9893290.803610878
199 614.5869754934737 887.0789184570313 28912.52985571191 9893290.873400316
200 614.587849158578 887.0798950195313 28912.37012223493 9893290.948336275
201 614.5885613357752 887.0806274414063 28912.24022872587 9893291.348132769
202 614.5892548794138 887.0814208984375 28912.107581766 9893291.717248062
203 614.5899459069782 887.0820922851563 28911.9823863716 9893292.074056048
204 614.5906755056096 887.0828857421875 28911.85629206791 9893292.165928954
205 614.591254455228 887.0834350585938 28911.76745169956 9893292.571233844
206 614.591750367152 887.083984375 28911.68773017514 9893293.319695551
207 614.5920999481745 887.0843505859375 28911.65794915687 9893294.11812331
208 614.592435762792 887.084716796875 28911.63969773191 9893294.232781472
209 614.5927076569046 887.0850219726563 28911.63994408196 9893294.312869156
210 614.5929037507821 887.085205078125 28911.66688024911 9893294.438173836
211 614.5928854851913 887.085205078125 28911.73870418435 9893294.839455934
212 614.5928812330475 887.0851440429688 28911.80538891623 9893294.996741213
213 614.5928128607311 887.0850830078125 28911.88915225055 9893295.156535452
214 614.5926568176326 887.0848999023438 28911.98464227364 9893295.454509573
215 614.5924020407469 887.0845947265625 28912.10448442096 9893295.555414993
216 614.592017500183 887.0841064453125 28912.24894549261 9893295.613211874
217 614.5917324855865 887.083740234375 28912.36609332619 9893295.690741735
218 614.5914648391857 887.0834350585938 28912.48901563415 9893295.747404413
219 614.5912569931495 887.0831298828125 28912.59730527291 9893295.857670201
220 614.5911262028559 887.0828857421875 28912.68728210578 9893296.030584909
221 614.5909898584309 887.0826416015625 28912.77533533295 9893296.159745701
222 614.5907263471997 887.082275390625 28912.88624600454 9893296.733945237
223 614.5905900716992 887.08203125 28912.97296156545 9893296.955390571
224 614.5903117315439 887.0817260742188 28913.09666900178 9893297.080964193
225 614.5898955959622 887.0812377929688 28913.25370020384 9893297.385326013
226 614.5893966100524 887.0806884765625 28913.43533246249 9893297.586073061
227 614.5887736627072 887.0800170898438 28913.64571390295 9893297.685949234
228 614.5879848261372 887.0791625976563 28913.90277725421 9893297.752239043
229 614.5872085418708 887.0783081054688 28914.15100692993 9893297.810307421
230 614.5863361577664 887.0773315429688 28914.43014411691 9893297.850938758
